,question,option_A,option_B,option_C,option_D,answer
0,下列何醫者於南朝宋‧范曄著之《後漢書‧方術列傳》中並無為其立傳？,(A)華佗,(B)郭玉,(C)張仲景,(D)費長房,C
1,中國正史上記載，第一次因應醫學需求而進行的官方人體解剖，發生在下列那個朝代？,(A)秦朝,(B)新朝,(C)五代,(D)北宋,B
2,有關《海藥本草》之敘述，下列何者錯誤？,(A)作者為李珣，祖籍波斯,(B)對藥物的相惡相使作用有新的闡發,(C)香藥記載較多，補遺中國本草知識,(D)為明朝東西方醫學交流的產物,D
3,有關隋唐「服餌」風氣的社會情況，下列敘述何者錯誤？,(A)孫思邈「千金方」論及五石之毒,(B)唐代許多皇帝與文人之死亡皆與服餌有關,(C)道家、佛教皆發展服餌長生之法,(D)隋唐服餌之風主要是因為民眾欲擺脫禮教桎梏及名利束縛,D
4,其著作？,(A)高武《針灸聚英》,(B)王惟一《銅人腧穴針灸圖經》,(C)滑壽《十四經發揮》,(D)皇甫謐《針灸甲乙經》,A
5,③《女科證治準繩》,(A)①②③,(B)①③②,(C)②③①,(D)③①②,C
6,有關《溫熱經緯》一書的相關資料，下列敘述何者錯誤？,(A)本書著作背景為作者於兩湖區域業醫，見地域廣大但溫疫橫行，故潛心研究溫熱病而成,(B)書名「經緯」二字源由乃以《內經》、《傷寒論》之記載為經，以葉桂、薛雪、陳平伯、余霖等,(C)作者對溫病的辨證分類是依葉天士所言，分為衛、氣、營、血四個階段,(D)作者將溫病的致病來源主要分為「新感」與「伏氣」兩類,A
7,近百年的中國醫藥學，關於醫家及其著作，下列敘述何者錯誤？,(A)唐宗海著有《中醫匯通醫書五種》，尤精血證的治療,(B)張錫純著有《醫學衷中參西錄》，為醫學實驗派大師,(C)惲鐵樵著有《藥庵醫學叢書》，其中對於中西匯通理論多見於《醫經精義》中,(D)朱沛文著有《華洋臟象約纂》，匯集《內經》、《難經》、《醫林改錯》等書有關人體結構、臟,C
8,對於此現象之生理變化，下列敘述何者正確？,(A)年四十，體重，耳目不聰明矣,(B)五八，腎臟衰，天癸竭，精少，形體皆極,(C)五八，三陽脈衰於上，面皆焦，髮始白,(D)年四十，而陰氣自半也，起居衰矣,D
9,關於飲食與生活型態對身體的影響，依《素問‧生氣通天論》，下列敘述何者正確？,(A)高梁之變，足生大丁,(B)因而飽食，心氣喘滿,(C)因而強力，肝筋乃傷,(D)味過於鹹，筋脈沮弛,A
10,壽延年的作用。依《素問‧生氣通天論》，有關陰陽之理論，下列敘述何者正確？,(A)陰者，藏氣而起亟也；陽者，衛外而為精也；陰平陽密，精神乃治,(B)聖人陳陰陽，筋脈和同，骨髓堅固，氣血皆從,(C)陽氣者，勝則養精，柔則養神；陰氣者，本在五氣；陰平陽密，精神乃治,(D)陰陽之要，陽密乃固，陰氣上而衛外，耳目聰明，氣立如故,B
11,依《素問‧金匱真言論》，有關五臟六腑與四季陰陽的關係，下列敘述何者正確？,(A)人身之藏府中之陰陽，府者為陽，秋冬易病,(B)春病在陰，秋病在陽,(C)背為陽，陽中之陽，肝也,(D)冬病在陽，夏病在陰,B
12,依《內經》天人相應觀念，有關時間生物學，下列敘述何者正確？,(A)日中至黃昏，天之陰，陽中之陰也,(B)合夜至雞鳴，天之陽也，陰中之陽也,(C)日中而陽氣隴，為生氣,(D)日西而陽氣已虛，氣門乃閉,D
13,依《素問‧陰陽應象大論》，下列敘述何者正確？,(A)壯火生氣，少火散氣,(B)壯火之氣壯，少火之氣少,(C)壯火食氣，氣食少火,(D)壯火食氣，味生少火,C
14,依《靈樞‧五味》，心病禁鹹味的原因是下列何者？,(A)水侮土,(B)水剋火,(C)火侮水,(D)火生土,B
15,依《素問‧四氣調神大論》，夏天起居活動的養生之道，下列敘述何者正確？,(A)早臥晚起，必待日光,(B)早臥早起，與雞俱興,(C)夜臥晚起，廣步於庭,(D)夜臥早起，無厭於日,D
16,依《素問‧靈蘭秘典論》，下列何者為「決瀆之官，水道出焉」？,(A)膀胱,(B)腎,(C)脾,(D)三焦,D
17,歲女性，因中風長期臥床，時常有痰不易咳出。依據中醫基礎理論，下列何者錯誤？,(A)肺為儲痰之器,(B)膽為化痰之樞,(C)腎為生痰之本,(D)脾為生痰之源,B
18,其身體狀況改變與下列那個臟腑較相關？,(A)肝,(B)心,(C)脾,(D)肺,D
19,腑功能最相關？,(A)肝,(B)心,(C)脾,(D)腎,D
20,其症狀與下列那一個臟腑功能最相關？,(A)肺氣虛,(B)肝失疏泄,(C)脾失健運,(D)腎陰不足,D
21,「髓海充盈、精力充沛、耳目聰明、思維慧敏」，依據中醫基礎理論是下列何臟腑精氣充足的表現？,(A)肝,(B)心,(C)脾,(D)腎,D
22,現？,(A)血海,(B)髓海,(C)氣海,(D)水穀之海,A
23,依據中醫基本理論的內容，有關「津液」的生理功能，下列敘述何者錯誤？,(A)滋潤體表皮膚、肌肉、孔竅,(B)調節控制腠理的開合,(C)與營氣共同化生血液,(D)濡養骨節、臟腑、腦、骨髓,B
24,依《靈樞‧決氣》，有關「津液」的生理與病理，下列敘述何者錯誤？,(A)腠理發泄，汗出溱溱，是謂津,(B)中焦開發，宣五穀味，是謂液,(C)津脫者，腠理開，汗大泄,(D)液脫者，骨屬屈伸不利,B
25,依《難經‧二十二難》，有關氣與血的關係，下列敘述何者錯誤？,(A)氣主呴之，血主濡之,(B)氣留而不行者，為氣先病也,(C)血壅而不濡者，為血後病也,(D)邪在氣，氣為所生；邪在血，血為是動,D
26,關於氣血的關係，下列敘述何者錯誤？,(A)血的生成和運行，都是在氣的主宰統率下進行，所以稱血為氣之帥,(B)氣能攝血，亦能行血,(C)氣無形而動，必須附著於有形之血，才能並行於脈而不散失,(D)氣滯亦有可能造成血瘀狀態,A
27,依據中醫藏象理論，關於腎的敘述，下列何者錯誤？,(A)腎主唾,(B)其榮髮也,(C)腰者腎之府,(D)憂思傷腎,D
28,依《素問‧六節藏象論》，「其華在爪，其充在筋」指的是下列何者？,(A)肝,(B)心,(C)脾,(D)腎,A
29,依《難經》，關於七神的敘述，下列何者正確？,(A)心藏智,(B)腎藏志,(C)肺藏意,(D)脾藏魄,B
30,依《素問‧水熱穴論》，所謂「玄府」是指下列何者？,(A)奇恒之府,(B)三焦,(C)汗孔,(D)膀胱,C
31,依《靈樞‧本神》，下列敘述何者正確？,(A)肝藏血，血舍魄,(B)心藏脈，脈舍意,(C)脈藏氣，氣舍魂,(D)腎藏精，精舍志,D
32,依《靈樞‧經脈》，有關「經脈病症」，下列敘述何者正確？,(A)膽足少陽之脈是動則病口苦，善太息，心脇痛，不能轉側，甚則面微有塵，體無膏澤，足外反熱，,(B)腎足少陰之脈是動則病饑不食，面如漆柴，咳唾則有血，喝喝而喘，坐而欲起，心如懸若饑狀，,(C)心手少陰之脈是動則病嗌乾，心痛，渴而欲飲，是為踝厥,(D)胃足陽明之脈是動則病洒洒振寒，甚則欲上高而歌，棄衣而走，賁響腹脹，是為臂厥,A
33,依《靈樞‧經脈》，有關手足三陽經於肩部之循行部位，下列敘述何者錯誤？,(A)手陽明：上肩出髃骨之前廉,(B)足少陽：循頸行手少陽之前，至肩上卻交出手少陽之後，入缺盆,(C)手少陽：出肩解，繞肩胛，交肩上,(D)足太陽：循肩髆內,C
34,依《素問‧血氣形志》，下列那一組經脈針刺治療使用「出血惡氣」法？,(A)太陰經、少陽經,(B)太陰經、陽明經,(C)少陽經、少陰經,(D)厥陰經、太陽經,D
35,「目黃脇痛，臑臂內後廉痛厥，掌中熱痛」，是下列那一條經脈的所生病症狀？,(A)手太陰肺經,(B)足厥陰肝經,(C)手少陰心經,(D)足太陰脾經,C
36,氣」是指下列何者？,(A)針灸後得氣,(B)患有腹脹氣,(C)大便跟放屁,(D)脹氣消除後,C
37,下列症狀何者不是足太陰脾經「所生病」？,(A)不能臥,(B)體不能動搖,(C)口喎唇胗,(D)足大指不用,C
38,下列症狀何者不是足厥陰肝經的「是動病」？,(A)病口苦善太息,(B)婦人少腹腫,(C)嗌乾,(D)面塵脫色,A
39,依《靈樞‧經脈》，下列那一條經脈循行有「過陰器」？,(A)足厥陰肝經,(B)足少陰腎經,(C)足太陰脾經,(D)足陽明胃經,A
40,有關十二經別循行的敘述，下列何者錯誤？,(A)從四肢深入內臟，再上行至頭頸淺部,(B)離合出入的部位，和十二正經有密切關係,(C)方向上和正經一致,(D)六陰經別都會經過本臟,C
41,依《靈樞‧經筋》，下列那一條經筋結於伏兔之上？,(A)足少陽之筋,(B)足陽明之筋,(C)足太陽之筋,(D)足厥陰之筋,A
42,依《靈樞‧經筋》，下列那一條經筋結於枕骨？,(A)足少陰之筋,(B)足厥陰之筋,(C)足少陽之筋,(D)足陽明之筋,A
43,依《素問‧骨空論》，衝脈並下列那一條經脈俠臍上行？,(A)三陰之經,(B)太陰之經,(C)厥陰之經,(D)少陰之經,D
44,依《難經‧二十八難》，衝脈並下列那一條經脈夾臍上行？,(A)足太陰,(B)足陽明,(C)足少陰,(D)足太陽,B
45,有關《靈樞‧海論》四海之輸相關內容，下列敘述何者正確？,(A)髓海其輸上在其蓋，下在風池,(B)氣海其輸上在柱骨之上下，前在人迎,(C)水穀之海其輸上在大抒，下在上、下巨虛,(D)十二經之海其輸上在氣街，下在三里,B
46,依《靈樞‧根結》所述：「太陽根於至陰，結於命門」，此處的命門是指下列何者？,(A)目,(B)耳,(C)腎陽,(D)膀胱,A
47,⑨入掌中，循中指出其端,(A)①②③④⑤⑥⑦⑧⑨,(B)①②③④⑥⑤⑦⑧⑨,(C)①③②④⑥⑤⑦⑧⑨,(D)③①②④⑤⑥⑦⑧⑨,C
48,有關「內濕」形成的敘述，下列何者錯誤？,(A)陽氣不足，痰濕過盛,(B)恣食生冷，過食肥甘,(C)肝腎陰虛或心腎不交,(D)脾陽不振或脾氣虛損,C
